Country,Year,GDPPC,GDP_Growth,GINI,Gov_Debt,Inflation,Life_Exp,Unemployment,Edu,PI
Greece,1975,13323.56426,6.366808843,,,13.62876178,73.37636585,,6.79,2750
Guatemala,1975,2800.958259,1.949990822,,,13.15924438,54.824,,2.01,0
Guyana,1975,3479.407198,8.483021514,,,,60.819,,6.04,0
Honduras,1975,1467.559857,2.130681763,,,8.376162506,57.548,,2.64,3250
Haiti,1975,1704.787037,1.122754491,,,16.77357032,48.681,,1.5,0
Hungary,1975,,,,,3.842159918,69.29,,8.57,0
Indonesia,1975,825.3391251,5.607476636,,,19.16569713,55.968,,3.19,0
India,1975,372.7127029,9.149912016,,,5.748430298,50.812,,2.01,3125
Ireland,1975,14260.78132,5.656644723,,,20.87585034,71.75304878,,8.42,0
Iraq,1975,1623.35928,12.49066468,,,9.517177344,61.464,,1.97,3125
Iceland,1975,,,,,49.36133823,75.57878049,,7.43,0
Israel,1975,,,,,39.30673102,72.04512195,,9.56,0
Italy,1975,17846.97455,-2.090162915,,,16.95050257,72.64731707,,6.16,4500
Jamaica,1975,4875.879419,-0.256092257,,,17.37614679,68.048,,5.42,0
Jordan,1975,,,,,11.97982346,63.961,,4.01,0
Japan,1975,16333.67482,3.091575916,,,11.73126615,74.24707317,,8.38,562
Kenya,1975,1101.576565,0.882203175,,,19.12018401,55.826,,2.66,1312
Cambodia,1975,,,,,,11.995,,2.2,3375
Kuwait,1975,,,,,8.392370572,67.892,,3.51,0
Liberia,1975,,,,,,42.774,,1.66,0
Sri Lanka,1975,853.5598006,6.126233161,,,6.625992553,66.237,,6.72,312
Lesotho,1975,332.3169723,-13.51349756,,,14.21193968,52.987,,3.91,0
Luxembourg,1975,38729.56046,-6.571372925,,,10.71767113,70.29860976,,7.92,0
Morocco,1975,1156.069336,7.558221561,,,7.918289267,51.244,,1.35,0
Maldives,1975,,,,,,50.519,,4.3,1875
Mexico,1975,6773.990303,5.744485049,,,14.94453464,62.81,,4.09,1687
Mali,1975,388.7285696,11.62504914,,,,36.225,,0.45,0
Malta,1975,4634.093261,19.56008086,,,8.791666666,71.53163415,,6.57,0
Mongolia,1975,,,,,,55.65,,5.65,0
Mozambique,1975,,,,,,42.582,,0.95,3375
Mauritania,1975,1593.355985,-5.134374447,,,,52.65,,1.83,0
Mauritius,1975,,,,,14.73832327,62.35580488,,5.09,0
Malawi,1975,405.8694051,6.086823806,,,,40.222,,1.86,0
Malaysia,1975,2386.13883,0.801068092,,,4.487722269,65.712,,4.82,1562
Niger,1975,564.2901321,-2.793193436,,,9.115802051,36.588,,0.52,0
Nicaragua,1975,2605.505218,-0.153246894,,,,56.036,,3.32,1250
Netherlands,1975,24009.75801,0.002028862,,,10.21747579,74.49878049,,8.93,0
Norway,1975,32814.91571,4.95210308,,,11.68922348,74.81756098,,8.54,0
Nepal,1975,332.4547424,1.456470709,,,7.585985214,45.04,,0.72,0
New Zealand,1975,,,,,14.68498347,72.2195122,,11.71,0
Pakistan,1975,652.6603355,4.211415631,,,20.90450946,55.905,,1.88,625
Panama,1975,4794.535852,1.74091944,,,5.881041307,68.079,,5.89,125
Peru,1975,3906.306872,4.300863165,,,23.6187353,57.905,,5.32,3000
Philippines,1975,1577.253812,5.45110287,,,6.761402705,61.704,,5.49,3812
Papua New Guinea,1975,2212.994687,-0.879884165,,,10.49099258,55.039,,1.7,.
Poland,1975,,,,,2.25631769,70.56097561,,7.91,0
Portugal,1975,9059.007114,-4.347630545,,,15.27168575,68.3097561,,3.8,6312
Paraguay,1975,2407.522054,6.852444714,,,6.693060084,63.445,,4.68,0
Qatar,1975,,,,,,69.008,,4.27,0
Romania,1975,,,,,,69.61390244,,7.66,0
Rwanda,1975,303.3373942,-2.113825424,,,30.22604657,44.698,,1.44,0
Saudi Arabia,1975,30798.99802,-8.928614314,,,34.57610634,58.068,,3.73,312
Sudan,1975,1358.643677,15.71346645,,,23.96304764,53.377,,0.96,1875
Senegal,1975,1034.713392,7.535662599,,,31.65342332,44.099,,2.45,0
Singapore,1975,9974.220918,3.988738626,,,2.536531569,70.78343902,,5.07,0
Sierra Leone,1975,637.2118172,1.669216524,,,,41.173,,1.1,0
El Salvador,1975,3223.248693,2.923531889,,,19.08849965,54.875,,3.24,312
Sweden,1975,27202.34389,2.552862643,24.3,,9.779873988,74.98463415,,9.24,0
Togo,1975,798.6720683,2.440541184,,,18.0121995,48.729,,1.82,0
Thailand,1975,1126.707397,4.970405228,,,5.330097087,61.272,,3.01,2625
Tonga,1975,,,,,,64.844,,7.67,0
Trinidad and Tobago,1975,6273.725024,1.477965371,,,16.97906047,66.786,,6.93,0
Tunisia,1975,1581.540827,7.156099909,,,,59.468,,2.45,0
Uganda,1975,,,,,,46.267,,1.93,0
Uruguay,1975,7219.41108,6.096914313,,,81.40538401,69.335,,6.16,0
South Africa,1975,5309.53323,1.695433779,,,13.42594187,57.512,,4.83,2062
Zambia,1975,1228.056966,-2.269328924,,,,54.239,,3.65,0
Zimbabwe,1975,1651.778658,-1.931223239,,,,57.552,,3.45,2437
Afghanistan,1980,,,,,,39.618,,1.22,4562
Albania,1980,1740.505838,,,,,70.478,,6.39,0
United Arab Emirates,1980,118141.5296,23.87477491,,,,68.53,,3.89,125
Argentina,1980,10270.95612,1.51878395,40.8,,,68.564,,7.3,0
Australia,1980,30717.75614,3.035697656,,,10.13584117,74.33365854,,11.2,0
Austria,1980,25520.74056,1.731485595,,,6.328325362,72.46341463,,7.89,250
Burundi,1980,357.6831341,0.991055725,,,2.4985195,45.406,,1.45,0
Belgium,1980,24393.29818,4.444053876,,,6.648688297,73.20707317,,8.5,500
Benin,1980,750.9600069,6.781763868,,,,47.877,,1.22,0
Bangladesh,1980,424.8097167,0.819141869,,,,51.85,,2.25,1250
Bulgaria,1980,3431.521297,,,,,71.15756098,,7.84,0
Bahrain,1980,21290.94332,,,,3.869525059,70.826,,4.93,0
Bolivia,1980,2062.969046,-1.371772911,,,47.2416501,51.181,,5.48,2937
Brazil,1980,6415.637813,9.2,,,,61.781,,3.04,0
Barbados,1980,14092.7504,4.373064814,,,14.43051972,71.921,,7.31,0
Botswana,1980,2000.663608,11.98690139,,,13.63242515,60.646,,3.12,0
Central African Republic,1980,557.8779777,-4.478638848,,,,49.889,,1.66,0
Canada,1980,,,,,10.12922051,75.10219512,,10.15,0
Switzerland,1980,59771.44922,,,,4.022500848,75.45926829,,11.06,312
Chile,1980,4693.440823,7.986620757,,,35.13834053,68.84,,6.95,625
China,1980,430.8554098,7.834145016,,,,64.42,,5.31,250
