Country,Year,FDI,Imports,Exports,Aid,ME,PI
Belgium,2008,190392000000.0,80.20782782,80.88061998,,1.22,500
Benin,2008,48210757.85,25.634639,22.14072027,25.82114989,0.66,0
Burkina Faso,2008,33190579.88,25.23598993,10.14932705,40.80767804,1.24,437
Bangladesh,2008,1328422987.0,24.96205555,17.65885848,6.694084277,0.94,625
Bulgaria,2008,10296720634.0,72.21108847,52.47765905,,2.13,0
Bahrain,2008,1793998355.0,63.30516277,82.57734838,,2.8,0
Bosnia and Herzegovina,2008,1004852660.0,59.31481092,26.84806892,3.897063503,1.22,0
Belarus,2008,2187900000.0,68.66172333,60.93775522,0.26457558,1.45,0
Belize,2008,169668449.5,51.81685756,54.04277113,2.070121895,1.08,0
Bolivia,2008,512335605.2,37.9604649,44.90655599,8.845019466,1.96,1375
Brazil,2008,50716402711.0,13.72356891,13.53400051,0.167900313,1.44,125
Botswana,2008,520917902.3,52.06131735,46.94690466,10.39162672,3.1,0
Central African Republic,2008,117110000.0,23.43385711,11.0036647,,1.55,0
Canada,2008,70119614333.0,32.62860281,34.39500555,,1.25,562
Switzerland,2008,2990936685.0,53.64868145,63.12931869,,0.72,0
Chile,2008,18473102612.0,39.51406545,41.16256079,0.114597947,2.58,0
China,2008,171535000000.0,25.01000133,32.60271402,0.105948222,1.72,2500
Cameroon,2008,20995513.74,29.91605169,27.00836547,6.51267315,1.26,125
Colombia,2008,10564155796.0,21.05805428,18.10959514,1.695859875,3.74,3125
Costa Rica,2008,2436112218.0,47.59505206,38.80646065,0.495548204,,0
Cuba,2008,,24.34961509,20.56760566,,,0
Cyprus,2008,12297296307.0,62.84411604,50.08160098,,1.63,0
Germany,2008,30954735498.0,37.72561447,43.79919026,,1.21,0
Djibouti,2008,227654582.2,,,19.65342588,2.63,0
Denmark,2008,2191215666.0,50.65243249,54.17579741,,1.36,250
Dominican Republic,2008,2728400000.0,37.4853166,23.90673649,0.983522893,0.7,0
Algeria,2008,2638607034.0,28.71117516,47.973343,0.58623868,3.02,0
Ecuador,2008,1057404020.0,33.89330782,34.16363955,1.094966178,2.67,0
Eritrea,2008,39000000.0,26.1321934,4.428756649,,,0
Spain,2008,74088629877.0,30.35940087,25.62392917,,1.37,0
Estonia,2008,1977264597.0,70.29679871,66.39225243,,1.77,0
Ethiopia,2008,108537544.0,,,34.42308524,1.52,1875
Finland,2008,19406664159.0,41.28432811,44.90000772,,1.39,0
Fiji,2008,679220489.3,73.87306926,57.12477872,1.630962757,1.52,0
France,2008,67997446905.0,29.27769803,28.11938486,,1.9,0
Gabon,2008,693511289.0,26.79916058,62.19971201,1.254965815,,0
United Kingdom,2008,253454000000.0,29.19264558,27.50596135,,2.49,0
Georgia,2008,1602232456.0,58.03490451,28.26331986,10.08043369,8.52,250
Ghana,2008,2714916344.0,44.48476831,25.0294573,10.33601989,0.29,0
Guinea,2008,381880000.0,42.54378614,21.64046458,18.37453249,,2312
Guinea-Bissau,2008,6630074.028,32.7914364,19.8506086,45.40354271,,2187
Equatorial Guinea,2008,-793872332.8,39.46365642,89.22435018,,1.48,0
Greece,2008,5733447473.0,35.9681465,23.36156903,,2.98,2312
Guatemala,2008,731386670.0,40.0543846,25.12434592,3.332351396,0.47,0
Guyana,2008,178000000.0,,,7.061560312,1.01,0
Honduras,2008,1200798087.0,84.42367851,51.32527669,4.568046306,0.95,0
Croatia,2008,5249620116.0,46.07155032,35.94959193,0.646284498,1.83,0
Haiti,2008,29800000.0,27.35364808,8.791390072,28.66993282,,812
Hungary,2008,75107772943.0,79.14437916,79.18091868,,1.18,0
Indonesia,2008,9318453650.0,28.75311546,29.80828417,0.739692665,0.58,312
India,2008,43406277076.0,29.27086318,24.09735726,0.502346092,2.63,1500
Ireland,2008,23287686336.0,75.70616173,84.33328243,,0.58,250
Iraq,2008,1855700000.0,30.72723605,50.32830722,26.08950372,2.37,5375
Iceland,2008,1203686965.0,42.3876243,40.3004024,,,0
Israel,2008,10274200000.0,38.32872968,37.76899338,,6.39,562
Italy,2008,-9501579210.0,27.6301011,26.86277469,,1.54,375
Jamaica,2008,1376602630.0,71.63409675,41.94330709,0.818679071,0.95,0
Jordan,2008,2826744496.0,84.8624294,56.05049657,3.694740973,5.99,0
Japan,2008,24624845330.0,16.89393316,17.23554338,,0.91,250
Kazakhstan,2008,16818890680.0,37.14841971,57.14638494,0.464569268,1.15,0
Kenya,2008,95585680.23,34.90454109,22.67405755,10.66772159,1.62,2437
Cambodia,2008,815180218.0,67.77700868,65.5432507,9.337908138,0.8,0
Kuwait,2008,-5951752.859,25.92390673,66.75954952,,3.01,0
Lebanon,2008,4333045470.0,68.08001874,38.54565444,3.415963249,4.0,3437
Liberia,2008,283536077.4,,,54.11478576,0.5,0
Libya,2008,4111300000.0,29.12645152,74.11570653,0.248266806,1.49,0
Sri Lanka,2008,752200000.0,38.52755651,24.8414871,3.756816446,3.24,312
Lesotho,2008,11009973.06,108.2081077,52.9184829,7.111790682,1.55,0
Lithuania,2008,1727292156.0,69.22776062,57.62132699,,1.13,0
Luxembourg,2008,7117112828.0,130.718719,161.4947618,,0.36,0
Latvia,2008,1434273758.0,51.91895078,39.25750458,,1.62,0
Morocco,2008,2466288357.0,45.36224823,32.47222341,3.236182791,3.18,3125
Moldova,2008,726610000.0,93.60285274,40.81874861,5.258433623,0.61,0
Madagascar,2008,1134497642.0,46.65015456,27.7071994,17.23115001,0.96,0
Mexico,2008,29752580526.0,29.34522065,27.02006123,0.040274409,0.39,625
Mali,2008,267511185.9,38.33182606,25.14419,23.10618158,1.47,0
Malta,2008,14837770104.0,150.3230108,148.4950533,,0.62,0
Montenegro,2008,975271781.8,92.82052323,39.51974845,2.358628598,1.87,0
Mongolia,2008,844697949.5,67.18097748,54.01703592,5.829993216,0.82,312
Mozambique,2008,641399415.8,,,36.86061993,0.66,125
Mauritania,2008,342770662.0,52.51736052,41.60285048,,3.06,1875
Mauritius,2008,377724738.1,64.41879446,51.07052144,1.564275224,0.16,0
Malawi,2008,195425887.2,,,42.87655913,0.84,0
Malaysia,2008,7572512432.0,77.16874754,99.49957724,0.079012959,1.82,125
Namibia,2008,750426324.2,65.99106255,53.65343563,3.979175864,3.14,0
Niger,2008,283076206.9,26.53073446,13.1805096,30.55298099,0.74,1875
Nigeria,2008,8194071895.0,,,1.585315456,0.49,2125
Nicaragua,2008,627300000.0,62.32366557,34.47041956,11.91382532,0.5,437
Netherlands,2008,195530000000.0,61.26625855,69.79363348,,1.31,0
Norway,2008,20578219685.0,28.56717904,46.2181009,,1.37,0
Nepal,2008,995123.9307,33.26038609,12.77582026,13.79487007,1.6,375
New Zealand,2008,2591966537.0,32.33002122,32.07870923,,1.15,0
Oman,2008,2951885566.0,43.65418074,64.95275747,0.245221451,4.96,0
Pakistan,2008,5438000000.0,22.47314197,11.87581844,1.978757874,3.46,1437
Panama,2008,2390000000.0,88.60907422,78.08907215,0.145837014,,125
Peru,2008,6923651285.0,28.70613718,29.72763021,1.06879526,1.25,937
Philippines,2008,1340027563.0,34.32423753,33.35683324,0.09511735,1.25,6250
Papua New Guinea,2008,47858884.78,,,5.451237291,0.34,0
Poland,2008,14574000000.0,43.09089113,37.81486981,,1.75,0
Portugal,2008,7819075463.0,40.81466384,31.26107908,,1.42,0
Paraguay,2008,341856544.0,38.33920595,42.43836871,1.278902659,0.68,0
Qatar,2008,3778626374.0,28.07048903,61.36235262,,2.01,0
Romania,2008,13667824245.0,39.01947004,26.15534462,,1.4,125
Rwanda,2008,102289999.9,26.32984103,11.2719531,,1.31,0
Saudi Arabia,2008,39455863929.0,33.99113285,62.11150937,,7.35,0
Sudan,2008,1653120315.0,16.4756662,20.26543163,15.66322691,4.98,3125
Senegal,2008,455739868.0,41.91546856,20.84630126,14.43700984,1.29,0
Singapore,2008,13598298537.0,208.332944,228.9937709,,3.85,0
Sierra Leone,2008,53095068.07,26.25558009,13.81452037,55.41047461,0.94,0
El Salvador,2008,903050000.0,53.92538677,26.74058717,2.369643298,0.96,0
Somalia,2008,87000000.0,,,,,4875
Serbia,2008,4055798182.0,50.23634797,28.44314007,3.340580455,2.13,0
Slovenia,2008,1080741792.0,68.41826879,66.31325282,,1.49,0
Sweden,2008,41436553996.0,43.47722751,49.08692292,,1.16,0
Seychelles,2008,179825444.2,110.7075581,98.13541039,0.643260468,1.15,0
Chad,2008,466130999.9,37.59516101,42.69450541,,5.89,1875
Togo,2008,50892371.95,36.9811269,25.32654055,18.65493373,1.72,0
Thailand,2008,8561557725.0,69.02059343,71.41641811,-0.280941076,1.53,3187
Tajikistan,2008,486614340.0,80.46535269,34.01479641,5.918352745,1.02,0
Turkmenistan,2008,1277000000.0,37.34990904,57.37416616,,,0
Trinidad and Tobago,2008,2800800000.0,,,0.081384143,0.49,0
Tunisia,2008,2600674976.0,58.69083028,55.65282994,1.295569031,1.29,0
Tanzania,2008,1383260000.0,29.5619332,19.46461136,25.58566432,0.7,0
Uganda,2008,728860900.7,31.97812586,24.28014234,28.92958589,1.35,1875
Ukraine,2008,10700000000.0,50.91202329,43.25986886,0.594709389,2.3,250
Uruguay,2008,2141969341.0,35.00507104,30.20302397,0.273671797,1.87,0
Uzbekistan,2008,547961216.4,38.57946923,41.1685228,1.531940835,,0
Kosovo,2008,538963527.4,59.54004397,17.19069912,,0.02,2000
South Africa,2008,9885001293.0,33.71985013,32.25467367,0.90756121,1.04,0
Zambia,2008,938620000.0,30.53552942,28.91935971,16.34976279,2.08,0
Zimbabwe,2008,51600000.0,68.05478847,41.46684872,,,937
Afghanistan,2009,56107246.5,,,145.757688,2.09,3812
Angola,2009,2205298180.0,63.68884384,58.7573003,0.489793497,4.71,0
Albania,2009,1345415234.0,49.85416579,25.24074861,5.41264423,1.52,437
United Arab Emirates,2009,1134288135.0,73.8086265,79.65331786,,5.46,0
Argentina,2009,4017158925.0,14.49614185,19.56098506,0.182630008,0.89,0
Armenia,2009,760040745.9,42.603335,14.67090075,9.129784059,4.16,0
Australia,2009,28683266148.0,22.72987797,23.01098506,,1.92,0
Austria,2009,14300064389.0,41.85481441,45.20741656,,0.83,0
Azerbaijan,2009,2900030000.0,23.108296,51.63574568,1.570123701,3.33,0
Burundi,2009,348404.5346,29.20000329,6.600000274,107.0136713,,1875
Belgium,2009,77354509260.0,66.57203682,68.83400371,,1.17,125
Benin,2009,-18807407.38,24.77466222,19.92796684,29.21718882,,0
Burkina Faso,2009,56653992.33,26.50701281,13.78897086,53.04699483,1.35,0
Bangladesh,2009,901286583.1,23.15266332,16.94013291,4.418107055,1.03,1875
Bulgaria,2009,3896664559.0,50.47379552,42.21885009,,1.74,437
Bahrain,2009,257149561.4,49.49813154,68.46559387,,3.61,0
Bosnia and Herzegovina,2009,138511019.7,48.73811544,25.00937879,4.719388808,1.38,0
Belarus,2009,1876500000.0,59.759183,48.87646182,0.314561693,1.37,0
Belize,2009,108840086.4,44.30821172,45.62106165,2.931861202,1.03,0
