Year,Country,Gov,BC,PI,RPE,PR,CL,Urban,Fertility
2010,Honduras,7.0,0.0,104.0,1.0546,3.2,3.2,49.9052,3.3
2000,Hungary,10.0,2.6,0.0,0.9022,1.0,1.0,64.9558,1.4
2005,Hungary,10.0,0.0,137.4,0.8667999999999999,1.0,1.0,65.1422,1.296
2010,Hungary,10.0,0.0,42.0,0.8318,1.0,1.0,67.4168,1.328
2000,India,8.4,8.2,2124.8,1.045,2.4,2.4,27.028999999999996,3.5152
2005,India,9.0,7.6,1425.0,1.0302,2.0,2.0,28.2608,3.2076000000000002
2010,India,9.0,10.8,3695.6666666666665,1.1576,2.0,2.0,29.9086,2.7994
2000,Indonesia,-4.0,0.6,3524.6,0.8144,6.2,6.2,38.4204,2.7077999999999998
2005,Indonesia,6.4,0.0,812.4,0.7136,3.0,3.0,43.571600000000004,2.467
2010,Indonesia,8.0,0.0,263.6666666666667,0.695,2.0,2.0,47.5368,2.463
2000,Iraq,-9.0,3.0,2537.4,1.6154,7.0,7.0,68.5216,5.2274
2005,Iraq,-31.8,0.6,6962.4,1.1674,7.0,7.0,68.604,4.7362
2010,Iraq,-66.0,1.6,2062.0,1.768,5.8,5.8,68.873,4.3972
2000,Ireland,10.0,0.0,75.0,0.8343999999999999,1.0,1.0,58.423,1.8980000000000001
2005,Ireland,10.0,0.0,100.0,0.7121999999999999,1.0,1.0,59.666,1.938
2010,Ireland,10.0,0.0,125.66666666666667,0.7003999999999999,1.0,1.0,60.9276,1.98
2000,Israel,6.0,1.0,2075.0,1.1716,1.0,1.0,91.0062,2.937
2005,Israel,6.0,0.0,1624.8,1.1099999999999999,1.0,1.0,91.3298,2.9219999999999997
2010,Israel,6.0,0.8,460.0,1.0358,1.0,1.0,91.6408,2.908
2000,Italy,10.0,0.0,374.8,0.9198000000000001,1.0,1.0,67.042,1.212
2005,Italy,10.0,0.0,287.4,0.899,1.0,1.0,67.4014,1.282
2010,Italy,10.0,0.0,817.6666666666666,0.8924,1.0,1.0,67.97380000000001,1.402
2000,Jamaica,9.0,0.0,125.0,1.4236,2.0,2.0,51.0948,2.651
2005,Jamaica,9.0,0.0,75.0,1.5559999999999998,2.0,2.0,52.236000000000004,2.1578
2010,Jamaica,9.0,0.0,187.33333333333334,1.5806,2.0,2.0,53.1842,1.9588
2000,Japan,10.0,0.0,50.0,0.8493999999999999,1.0,1.0,78.2708,1.392
2005,Japan,10.0,0.0,150.0,0.8144,1.0,1.0,81.62440000000001,1.318
2010,Japan,10.0,0.0,334.0,0.8394,1.0,1.0,88.0668,1.332
